CAX_ID,Dependent,Company_Location,Company_raising_fund,Company_Industry_count,Company_mobile_app,Company_investor_count_seed,Company_investor_count_Angel_VC,Company_cofounders_count,Company_advisors_count,Company_avg_investment_time,Company_crowdsourcing,Company_crowdfunding,Company_big_data,Company_analytics_score,Company_Product_or_service,Company_subscription_offering,Founder_highest_degree_type,Company_difficulty_obtaining_workforce,Company_Founder_Patent
3-round-stones-inc,1,USA,No,Yes,Many,No,9,3,2,9.427017,Yes,No,Yes,1,Service,Yes,Science,Medium,Yes
48-factoring-inc,1,USA,Yes,Yes,Few,Yes,8,2,4,1.27483,No,No,No,1,Both,Yes,Science,High,Yes
5psolutions,1,USA,Yes,No,Few,No,7,4,2,1.528826,No,Yes,No,3,Product,No,Technology,Medium,No
abt-associates,1,USA,No,No,Many,Yes,7,1,1,4.904597,Yes,Yes,No,4,Product,Yes,Science,Low,No
accela,1,USA,No,No,Few,No,0,0,0,9.086345,No,No,No,3,Product,No,Management,Low,Yes
accenture,1,USA,Yes,Yes,Few,No,2,0,0,2.89066,No,Yes,No,4,Service,No,Management,Low,Yes
accuweather,1,USA,Yes,No,Many,No,16,2,0,5.618668,No,Yes,Yes,4,Product,No,Science,Low,Yes
acxiom,1,USA,Yes,No,Few,No,17,4,4,5.094517,Yes,Yes,Yes,1,Service,Yes,Management,Medium,No
adaptive,1,USA,Yes,Yes,Many,Yes,19,4,1,5.469279,No,No,Yes,1,Product,Yes,Management,High,Yes
adobe-digital-government,1,USA,No,No,Many,No,1,1,1,9.707139,No,Yes,No,1,Service,No,Science,Medium,No
aidin,1,USA,Yes,Yes,Few,Yes,13,2,3,9.66487,Yes,Yes,No,0,Service,No,Management,Medium,Yes
alarmcom,1,USA,No,Yes,Many,No,0,3,5,5.826679,No,Yes,Yes,3,Service,No,Management,High,Yes
allianz,1,USA,Yes,Yes,Many,No,8,1,4,3.331978,Yes,Yes,No,1,Service,Yes,Management,Low,Yes
allied-van-lines,1,USA,Yes,No,Many,Yes,5,3,0,3.78332,No,No,No,1,Service,No,Technology,High,Yes
allstate-insurance-group,1,USA,No,No,Many,No,3,0,4,3.307708,Yes,Yes,No,3,Product,No,Management,High,Yes
alltuition,1,USA,No,No,Many,Yes,1,5,4,5.899345,Yes,Yes,No,3,Service,Yes,Technology,High,No
altova,1,USA,No,No,Many,Yes,9,2,4,5.301596,Yes,Yes,No,4,Both,Yes,Technology,Low,Yes
amazon-web-services,1,USA,No,Yes,Few,Yes,13,3,4,4.556014,No,Yes,No,2,Both,No,Technology,Low,Yes
american-red-ball-movers,1,USA,Yes,No,Many,Yes,16,3,2,9.085338,No,No,Yes,2,Service,No,Science,Low,Yes
amida-technology-solutions,1,USA,Yes,Yes,Many,No,14,3,1,6.900012,No,No,No,4,Service,Yes,Management,Low,Yes
analytica,1,USA,Yes,Yes,Few,No,3,2,5,9.614364,No,Yes,No,1,Both,Yes,Management,Low,No
apextech-llc,1,USA,No,No,Few,No,14,0,3,1.913776,No,Yes,No,1,Service,No,Management,Low,Yes
appallicious,1,USA,Yes,No,Few,No,12,2,0,4.017866,Yes,Yes,No,3,Both,Yes,Science,Low,Yes
aquicore,1,USA,Yes,Yes,Many,No,2,0,5,8.651677,No,No,No,2,Product,Yes,Technology,Medium,Yes
archimedes-inc,1,USA,Yes,Yes,Many,No,0,2,5,9.346751,No,No,No,5,Both,No,Technology,High,Yes
areavibes-inc,1,USA,Yes,No,Few,Yes,19,1,1,4.404245,No,No,Yes,1,Both,No,Science,Medium,Yes
arpin-van-lines,1,USA,Yes,No,Many,Yes,12,2,3,4.973082,Yes,Yes,Yes,0,Both,Yes,Management,Medium,Yes
arrive-labs,1,USA,Yes,No,Few,Yes,12,0,0,1.438442,Yes,No,No,2,Product,No,Science,Medium,No
asc-partners,1,USA,Yes,No,Many,No,8,2,0,6.486142,No,No,No,1,Service,No,Management,High,Yes
asset4,1,USA,Yes,No,Few,Yes,8,4,2,3.544762,Yes,Yes,No,0,Both,Yes,Technology,High,Yes
atlas-van-lines,1,USA,No,No,Few,Yes,9,0,3,1.454161,No,Yes,No,3,Product,Yes,Management,Medium,No
atsite,1,USA,Yes,No,Many,No,0,5,0,7.642093,Yes,Yes,Yes,2,Service,No,Technology,Low,No
aunt-bertha-inc,1,USA,No,Yes,Many,Yes,7,1,1,6.161117,Yes,No,No,4,Product,No,Management,Low,No
aureus-sciences-now-part-of-elsevier,1,USA,Yes,No,Few,Yes,5,4,3,4.036075,Yes,No,Yes,5,Both,No,Technology,Low,Yes
autogrid-systems,1,USA,No,No,Many,Yes,9,3,2,8.729198,No,Yes,Yes,3,Both,Yes,Management,Medium,Yes
avalara,1,USA,Yes,Yes,Many,No,6,2,4,9.447754,Yes,Yes,No,4,Product,Yes,Technology,Medium,Yes
avvo,1,USA,Yes,Yes,Many,Yes,3,0,0,5.622051,Yes,Yes,Yes,1,Product,No,Management,Medium,No
