CAX_ID,Dependent,Company_Location,Company_raising_fund,Company_Industry_count,Company_mobile_app,Company_investor_count_seed,Company_investor_count_Angel_VC,Company_cofounders_count,Company_advisors_count,Company_avg_investment_time,Company_crowdsourcing,Company_crowdfunding,Company_big_data,Company_analytics_score,Company_Product_or_service,Company_subscription_offering,Founder_highest_degree_type,Company_difficulty_obtaining_workforce,Company_Founder_Patent
govtribe,NaN,USA,Yes,No,Many,Yes,15,3,1,2.142604,No,Yes,No,0,Product,No,Management,High,Yes
govzilla-inc,NaN,USA,No,Yes,Few,No,13,5,5,5.545505,Yes,Yes,Yes,0,Product,No,Technology,Low,No
gradiant-research-llc,NaN,USA,No,No,Few,No,7,0,1,2.841331,Yes,No,Yes,0,Both,Yes,Technology,Low,Yes
graebel-van-lines,NaN,USA,Yes,Yes,Few,No,10,5,0,5.547422,No,No,Yes,3,Service,Yes,Management,High,Yes
graematter-inc,NaN,USA,Yes,No,Many,Yes,16,0,2,5.887389,Yes,No,No,3,Both,Yes,Science,High,No
granicus,NaN,USA,Yes,No,Many,Yes,18,2,4,8.320653,Yes,Yes,Yes,4,Both,No,Management,High,No
greatschools,NaN,USA,Yes,Yes,Few,Yes,5,4,1,1.93729,No,Yes,Yes,2,Both,Yes,Technology,Low,Yes
guidestar,NaN,USA,Yes,No,Few,Yes,12,1,3,2.995435,Yes,No,Yes,0,Both,No,Science,Medium,Yes
h3-biomedicine,NaN,USA,No,Yes,Many,No,5,5,4,3.672708,Yes,No,No,5,Product,No,Technology,Medium,Yes
harris-corporation,NaN,USA,No,No,Few,No,12,3,5,9.902027,No,Yes,Yes,4,Service,Yes,Technology,Low,Yes
hdscores-inc,NaN,USA,No,No,Many,Yes,10,0,4,3.792019,No,No,Yes,3,Service,Yes,Management,High,No
headlight,NaN,USA,No,No,Many,Yes,3,3,2,2.09254,No,No,No,2,Product,No,Management,Low,No
healthgrades,NaN,USA,No,Yes,Few,Yes,15,1,5,9.518345,Yes,Yes,No,0,Product,Yes,Science,Low,No
healthline,NaN,USA,No,No,Many,Yes,9,2,0,9.932011,Yes,No,No,2,Product,Yes,Management,Low,No
healthmap,NaN,USA,No,Yes,Few,No,3,2,5,4.540863,No,No,No,4,Both,No,Technology,Medium,No
healthpocket-inc,NaN,USA,No,Yes,Many,No,6,0,2,8.605531,No,No,No,1,Both,Yes,Management,High,No
hellowallet,NaN,USA,Yes,No,Few,No,5,1,1,7.819573,Yes,No,Yes,0,Product,Yes,Science,Low,No
here,NaN,USA,No,No,Few,Yes,8,2,1,8.547633,No,No,Yes,2,Product,Yes,Management,Medium,Yes
honest-buildings,NaN,USA,No,Yes,Many,Yes,8,3,4,9.012058,Yes,No,Yes,5,Both,Yes,Management,High,No
hopstop,NaN,USA,Yes,Yes,Many,Yes,2,2,0,3.659777,Yes,No,Yes,0,Both,No,Science,Medium,Yes
housefax,NaN,USA,No,Yes,Few,No,1,1,3,5.046919,Yes,Yes,No,5,Product,Yes,Science,Medium,Yes
hows-my-offer,NaN,USA,Yes,Yes,Many,Yes,17,1,1,2.42914,No,Yes,Yes,4,Both,No,Management,High,Yes
ibm,NaN,USA,No,Yes,Few,No,16,3,4,4.005118,No,Yes,Yes,2,Service,Yes,Science,Medium,Yes
ideas42,NaN,USA,Yes,Yes,Few,Yes,17,0,5,4.395821,Yes,Yes,No,4,Service,Yes,Management,Medium,No
ifactor-consulting,NaN,USA,Yes,Yes,Many,No,0,5,0,4.862261,Yes,Yes,Yes,5,Both,Yes,Science,Low,Yes
ifi-claims-patent-services,NaN,USA,Yes,No,Few,Yes,10,1,0,3.228009,No,No,No,1,Service,Yes,Technology,High,No
imedicare,NaN,USA,Yes,No,Few,Yes,20,5,3,8.670799,No,Yes,Yes,2,Service,Yes,Management,Low,No
impact-forecasting-aon,NaN,USA,Yes,No,Few,Yes,5,1,0,5.937818,Yes,No,Yes,1,Service,No,Science,High,No
impaq-international,NaN,USA,Yes,No,Many,Yes,5,0,4,2.927215,Yes,Yes,No,4,Product,No,Technology,High,No
importio,NaN,USA,No,Yes,Many,No,6,5,5,8.623861,No,No,No,5,Service,No,Management,Medium,Yes
ims-health,NaN,USA,Yes,Yes,Many,Yes,17,5,3,3.554096,No,Yes,Yes,1,Product,No,Technology,High,No
incadence,NaN,USA,Yes,Yes,Few,Yes,7,1,3,3.731804,No,Yes,Yes,4,Both,No,Technology,Medium,No
indoors,NaN,USA,No,No,Few,No,6,2,1,5.560019,No,Yes,Yes,0,Both,No,Management,Low,Yes
infocommerce-group,NaN,USA,Yes,No,Few,Yes,18,1,0,7.393066,Yes,No,Yes,2,Both,No,Technology,Low,Yes
informatica,NaN,USA,No,No,Many,No,8,2,0,9.902734,No,No,Yes,0,Product,No,Technology,Medium,No
innocentive,NaN,USA,Yes,No,Many,No,4,5,1,6.076065,No,Yes,Yes,5,Product,No,Science,Low,No
innography,NaN,USA,No,Yes,Many,Yes,20,5,4,2.460708,Yes,No,Yes,1,Service,No,Management,Medium,No
innovest-systems,NaN,USA,Yes,Yes,Many,No,4,2,5,3.272606,Yes,No,Yes,5,Product,No,Science,High,Yes
inovalon,NaN,USA,No,No,Few,No,0,5,0,6.156389,No,No,No,4,Service,Yes,Management,Medium,Yes
inrix-traffic,NaN,USA,Yes,Yes,Few,Yes,6,4,5,6.148577,Yes,Yes,Yes,3,Product,No,Technology,Low,Yes
intelius,NaN,USA,Yes,No,Few,Yes,15,3,5,2.547401,No,No,Yes,5,Service,Yes,Science,Medium,No
intermap-technologies,NaN,USA,No,Yes,Many,No,11,5,0,1.88964,No,Yes,Yes,4,Product,No,Technology,Medium,No
investormill,NaN,USA,No,Yes,Many,Yes,0,2,4,5.992245,Yes,Yes,Yes,5,Product,No,Technology,High,No
iodine,NaN,USA,Yes,Yes,Many,Yes,12,5,3,5.800641,No,Yes,Yes,2,Service,No,Management,High,Yes
iphix,NaN,USA,No,Yes,Many,Yes,20,0,4,6.853015,No,Yes,No,1,Service,Yes,Technology,Medium,No
irecycle,NaN,USA,No,No,Few,Yes,8,4,1,8.289717,Yes,No,Yes,5,Both,No,Management,Medium,No
itriage,NaN,USA,No,No,Few,Yes,3,3,3,1.084621,Yes,No,Yes,4,Product,No,Management,Medium,Yes
ives-group-inc,NaN,USA,Yes,No,Many,No,1,5,5,2.892609,No,Yes,No,5,Product,Yes,Management,Medium,Yes
iw-financial,NaN,USA,No,No,Few,Yes,8,2,3,2.480929,No,Yes,Yes,5,Service,Yes,Technology,High,No
jj-keller,NaN,USA,Yes,Yes,Few,Yes,9,1,0,1.418276,No,No,Yes,5,Product,Yes,Technology,High,No
jp-morgan-chase,NaN,USA,Yes,No,Many,No,11,0,3,4.237032,Yes,Yes,Yes,0,Product,Yes,Science,Low,Yes
junar-inc,NaN,USA,No,Yes,Many,No,15,1,4,8.795145,Yes,No,No,4,Product,Yes,Technology,Medium,No
junyo,NaN,USA,Yes,No,Many,No,6,0,5,5.453522,Yes,Yes,Yes,0,Product,No,Management,High,Yes
jurispect,NaN,USA,Yes,No,Many,Yes,10,5,2,1.706615,Yes,Yes,No,3,Product,No,Management,High,No
kaiser-permanante,NaN,USA,No,No,Few,No,18,5,0,5.496094,Yes,Yes,No,1,Product,No,Technology,Low,No
