date,SPY wkly close,QQQ wkly close,DIA wkly close,VNQ wkly close,BITO wkly close
09-30-2013,168.89,79.4,150.43,65.9,
10-07-2013,170.26,79.23,152.17,67.83,
10-14-2013,174.39,82.15,153.6,69.86,
10-21-2013,175.95,82.9,155.45,71.05,
10-28-2013,176.21,82.81,155.86,69.49,
11-04-2013,177.29,82.54,157.49,66.62,
11-11-2013,180.05,83.96,159.3,67.54,
11-18-2013,180.81,83.99,160.4,66.09,
11-25-2013,181.0,85.73,160.72,65.5,
12-02-2013,180.94,86.0,160.16,65.93,
12-09-2013,178.11,84.85,157.65,64.36,
12-16-2013,181.56,86.5,162.01,65.52,
12-23-2013,183.85,87.52,164.47,64.89,
12-30-2013,182.89,86.64,164.39,64.93,
01-06-2014,184.14,87.3,164.18,66.12,
01-13-2014,183.64,87.88,164.08,66.39,
01-20-2014,178.89,86.74,158.48,66.28,
01-27-2014,178.18,86.27,156.75,67.32,
02-03-2014,179.68,87.3,157.78,67.91,
02-10-2014,184.02,89.81,161.59,69.39,
02-17-2014,183.89,89.93,160.81,69.71,
02-24-2014,186.29,90.34,163.02,70.73,
03-03-2014,188.26,90.53,164.34,70.33,
03-10-2014,184.66,88.67,160.65,70.46,
03-17-2014,186.2,89.0,162.63,70.24,
03-24-2014,185.49,87.05,162.85,70.03,
03-31-2014,186.4,86.37,163.88,71.09,
04-07-2014,181.51,84.11,160.02,70.47,
04-14-2014,186.39,86.2,163.75,71.77,
04-21-2014,186.29,86.19,163.35,72.07,
04-28-2014,188.06,87.49,164.75,73.23,
05-05-2014,187.96,86.8,165.72,74.22,
05-12-2014,188.05,87.71,164.61,74.64,
05-19-2014,190.35,89.88,165.83,74.14,
05-26-2014,192.68,91.31,166.93,74.69,
06-02-2014,195.38,92.82,169.08,76.09,
06-09-2014,194.13,92.32,167.62,74.41,
06-16-2014,195.94,92.77,169.08,75.62,
06-23-2014,195.82,93.75,168.17,75.02,
06-30-2014,198.2,95.7,170.47,74.63,
07-07-2014,196.61,95.27,169.2,75.54,
07-14-2014,197.71,96.12,170.58,76.56,
07-21-2014,197.72,96.74,169.16,76.03,
07-28-2014,192.5,94.67,164.57,74.72,
08-04-2014,193.24,94.9,165.34,74.92,
08-11-2014,195.72,97.4,166.35,76.23,
08-18-2014,199.19,99.05,169.87,76.75,
08-25-2014,200.71,99.78,170.88,77.18,
09-01-2014,201.11,99.89,171.25,77.92,
09-08-2014,199.13,99.48,169.9,73.86,
09-15-2014,200.7,99.98,172.45,73.64,
09-22-2014,197.9,98.78,170.7,72.31,
09-29-2014,196.52,98.17,169.72,72.24,
10-06-2014,190.54,94.44,165.21,73.49,
10-13-2014,188.47,93.0,163.45,74.67,
10-20-2014,196.43,98.62,167.74,77.05,
10-27-2014,201.66,101.4,173.45,78.99,
11-03-2014,203.34,101.6,175.58,78.93,
11-10-2014,204.24,103.22,176.35,78.45,
11-17-2014,206.68,103.87,177.7,79.18,
11-24-2014,207.2,106.01,178.1,80.57,
12-01-2014,208.0,105.38,179.51,80.59,
12-08-2014,200.89,102.67,173.0,80.83,
12-15-2014,206.52,104.32,177.65,82.03,
12-22-2014,208.44,105.04,180.19,82.0,
12-29-2014,205.43,102.94,177.94,82.22,
01-05-2015,204.25,102.62,177.22,85.13,
01-12-2015,201.63,100.82,174.67,87.34,
01-19-2015,204.97,104.26,176.41,87.88,
01-26-2015,199.45,101.1,171.45,86.55,
02-02-2015,205.55,103.13,178.09,85.2,
02-09-2015,209.78,106.91,180.34,85.06,
02-16-2015,211.24,108.41,181.14,84.61,
02-23-2015,210.66,108.4,181.19,83.37,
03-02-2015,207.5,107.41,178.4,80.37,
03-09-2015,205.83,105.34,177.56,82.38,
03-16-2015,210.41,108.53,180.96,87.03,
03-23-2015,205.74,105.52,176.81,83.86,
03-30-2015,206.44,105.12,177.33,84.83,
04-06-2015,210.04,107.75,180.37,82.52,
04-13-2015,207.95,106.01,177.94,81.8,
04-20-2015,211.65,110.54,180.54,82.62,
04-27-2015,210.72,109.05,179.9,79.98,
05-04-2015,211.62,108.69,181.85,80.48,
05-11-2015,212.44,109.58,182.48,81.09,
05-18-2015,212.99,110.47,182.26,80.05,
05-25-2015,211.14,110.05,180.11,79.14,
06-01-2015,209.77,109.3,178.5,77.21,
06-08-2015,210.01,108.75,179.13,77.45,
06-15-2015,210.81,109.89,179.76,78.78,
06-22-2015,209.82,109.27,179.13,75.9,
06-29-2015,207.31,107.95,177.05,76.11,
07-06-2015,207.48,107.65,177.41,77.76,
07-13-2015,212.48,113.59,180.54,78.51,
07-20-2015,208.0,111.1,175.52,78.07,
07-27-2015,210.5,111.95,176.68,79.0,
08-03-2015,207.95,110.31,173.84,78.79,
08-10-2015,209.42,110.51,174.9,79.83,
08-17-2015,197.83,102.4,164.41,78.18,
08-24-2015,199.28,105.62,166.33,75.76,
08-31-2015,192.59,102.16,160.97,72.2,
09-07-2015,196.74,105.57,164.39,74.0,
09-14-2015,195.45,105.35,163.54,76.3,
09-21-2015,192.85,102.92,162.88,75.29,
09-28-2015,195.0,104.01,164.58,76.46,
10-05-2015,201.33,106.53,170.76,78.99,
10-12-2015,203.27,108.12,171.88,80.01,
10-19-2015,207.51,112.78,176.37,80.72,
10-26-2015,207.93,113.33,176.49,79.89,
11-02-2015,210.04,114.79,179.14,78.22,
11-09-2015,202.54,109.84,172.61,76.44,
11-16-2015,209.31,114.48,178.06,79.22,
11-23-2015,209.56,114.31,177.9,79.98,
11-30-2015,209.62,115.14,178.42,79.09,
12-07-2015,201.88,110.79,172.73,77.66,
12-14-2015,200.02,109.83,171.0,79.08,
12-21-2015,205.68,112.59,175.22,79.42,
12-28-2015,203.87,111.86,173.99,79.73,
01-04-2016,191.92,104.01,163.24,77.46,
01-11-2016,187.81,100.84,159.68,75.57,
01-18-2016,190.52,103.77,160.79,76.41,
01-25-2016,193.72,104.13,164.37,76.99,
02-01-2016,187.95,98.12,161.94,75.51,
02-08-2016,186.63,98.02,159.98,72.29,
02-15-2016,192.0,101.63,163.7,75.43,
02-22-2016,195.09,103.43,166.28,77.01,
02-29-2016,200.43,105.67,170.02,79.87,
03-07-2016,202.76,106.49,172.23,81.19,
03-14-2016,204.38,107.37,175.69,83.02,
03-21-2016,203.12,107.26,174.94,80.95,
03-28-2016,206.92,110.36,177.72,83.69,
04-04-2016,204.5,109.0,175.66,83.16,
04-11-2016,207.78,110.64,178.68,83.38,
04-18-2016,208.97,108.98,179.9,81.81,
04-25-2016,206.33,105.72,177.59,81.83,
05-02-2016,205.72,105.58,177.34,85.59,
05-09-2016,204.76,105.5,175.48,84.4,
05-16-2016,205.49,106.47,174.76,82.04,
05-23-2016,210.24,110.13,178.5,83.68,
05-30-2016,210.28,110.06,178.06,84.51,
06-06-2016,210.07,108.94,178.71,84.7,
06-13-2016,206.52,106.49,176.52,85.64,
06-20-2016,203.24,104.29,173.62,84.86,
06-27-2016,209.92,108.08,179.31,88.7,
07-04-2016,212.65,110.3,181.3,89.8,
07-11-2016,215.83,111.8,184.88,90.11,
07-18-2016,217.24,113.65,185.51,91.78,
07-25-2016,217.12,115.23,184.13,92.45,
08-01-2016,218.18,116.78,185.26,90.33,
08-08-2016,218.46,117.2,185.9,90.23,
08-15-2016,218.54,117.26,185.32,88.52,
08-22-2016,217.29,116.78,183.82,88.18,
08-29-2016,218.37,117.12,184.86,89.52,
09-05-2016,213.28,114.28,180.91,86.09,
09-12-2016,213.37,117.29,180.97,84.97,
09-19-2016,215.99,118.33,182.42,88.53,
09-26-2016,216.3,118.72,182.78,86.74,
10-03-2016,215.04,118.47,182.22,82.15,
10-10-2016,213.12,117.14,181.29,83.08,
10-17-2016,213.98,118.15,181.22,83.47,
10-24-2016,212.54,117.1,181.36,80.45,
10-31-2016,208.55,113.65,178.71,78.82,
11-07-2016,216.42,115.8,188.47,78.54,
11-14-2016,218.5,117.32,188.46,78.92,
11-21-2016,221.52,118.8,191.3,80.18,
11-28-2016,219.68,115.7,191.74,80.0,
12-05-2016,226.51,119.5,197.69,83.21,
12-12-2016,225.04,119.6,198.19,82.63,
12-19-2016,225.71,120.2,199.05,80.82,
12-26-2016,223.53,118.48,197.51,82.53,
01-02-2017,227.21,121.93,199.51,84.29,
01-09-2017,227.05,123.16,198.7,82.61,
01-16-2017,226.74,123.25,197.96,83.14,
01-23-2017,228.97,125.8,200.63,82.34,
01-30-2017,229.34,125.68,200.38,82.8,
02-06-2017,231.51,127.38,202.74,83.81,
02-13-2017,235.09,129.81,205.88,83.77,
02-20-2017,236.74,130.26,207.93,85.4,
02-27-2017,238.42,131.02,209.91,84.21,
03-06-2017,237.69,131.39,209.15,80.41,
03-13-2017,237.03,131.69,208.86,82.44,
03-20-2017,233.86,130.63,205.75,81.88,
03-27-2017,235.74,132.38,206.34,82.59,
04-03-2017,235.2,131.97,206.38,83.51,
04-10-2017,232.51,130.4,204.37,84.27,
04-17-2017,234.59,132.56,205.25,85.1,
04-24-2017,238.08,135.99,209.08,82.79,
05-01-2017,239.7,137.54,209.77,82.4,
05-08-2017,238.98,138.6,209.01,81.28,
05-15-2017,238.31,137.84,207.77,82.19,
05-22-2017,241.71,141.22,210.54,82.66,
05-29-2017,244.17,143.46,211.91,83.47,
06-05-2017,243.41,139.98,212.67,83.67,
06-12-2017,242.64,138.15,213.56,84.94,
06-19-2017,243.13,141.24,213.74,84.15,
06-26-2017,241.8,137.64,213.24,83.23,
07-03-2017,242.11,137.76,214.05,82.0,
07-10-2017,245.56,142.12,216.26,83.08,
07-17-2017,246.88,144.11,215.53,83.75,
07-24-2017,246.91,143.84,218.02,84.15,
07-31-2017,247.41,143.65,220.57,83.98,
08-07-2017,244.12,142.1,218.7,82.1,
08-14-2017,242.71,141.23,216.53,82.19,
08-21-2017,244.56,141.97,218.04,83.82,
08-28-2017,247.84,146.0,219.92,84.33,
09-04-2017,246.58,144.21,218.24,84.93,
09-11-2017,249.19,146.06,222.45,85.34,
09-18-2017,249.44,144.32,223.2,82.49,
09-25-2017,251.23,145.45,223.82,83.09,
10-02-2017,254.37,147.66,227.55,83.3,
10-09-2017,254.95,148.34,228.73,84.79,
